597,压
598,厌
599,厍
600,厕
601,厘
602,厚
603,厝
604,原
605,厢
606,厣
607,厥
608,厦
609,厨
610,厩
611,厮
612,去
613,厾
614,县
615,叁
616,参
617,又
618,叉
619,及
620,友
621,双
622,反
623,发
624,叔
625,取
626,受
627,变
628,叙
629,叛
630,叟
631,叠
632,口
633,古
634,句
635,另
636,叨
637,叩
638,只
639,叫
640,召
641,叭
642,叮
643,可
644,台
645,叱
646,史
647,右
648,叵
649,叶
650,号
651,司
652,叹
653,叻
654,叼
655,叽
656,吁
657,吃
658,各
659,吆
660,合
661,吉
662,吊
663,同
664,名
665,后
666,吏
667,吐
668,向
669,吓
670,吕
671,吗
672,君
673,吝
674,吞
675,吟
676,吠
677,吡
678,吣
679,否
680,吧
681,吨
682,吩
683,含
684,听
685,吭
686,吮
687,启
688,吱
689,吲
690,吴
691,吵
692,吸
693,吹
694,吻
695,吼
696,吾
697,呀
698,呃
699,呆
700,呈
701,告
702,呋
703,呐
704,呓
705,呔
706,呕
707,呖
708,呗
709,员
710,呙
711,呛
712,呜
713,呢
714,呤
715,呦
716,周
717,呱
718,呲
719,味
720,呵
721,呶
722,呷
723,呸
724,呻
725,呼
726,命
727,咀
728,咂
729,咄
730,咆
731,咋
732,和
733,咎
734,咏
735,咐
736,咒
737,咔
738,咕
739,咖
740,咙
741,咚
742,咛
743,咝
744,咣
745,咤
746,咦
747,咧
748,咨
749,咩
750,咪
751,咫
752,咬
753,咭
754,咯
755,咱
756,咳
757,咴
758,咸
759,咻
760,咽
761,咿
762,哀
763,品
764,哂
765,哄
766,哆
767,哇
768,哈
769,哉
770,哌
771,响
772,哎
773,哏
774,哐
775,哑
776,哓
777,哔
778,哕
779,哗
780,哙
781,哚
782,哝
783,哞
784,哟
785,哥
786,哦
787,哧
788,哨
789,哩
790,哪
791,哭
792,哮
793,哲
794,哳
795,哺
796,哼
797,哽
798,哿
799,唁
800,唆
801,唇
802,唉
803,唏
804,唐
805,唑
806,唔
807,唛
808,唝
809,唠
810,唢
811,唣
812,唤
813,唧
814,唪
815,唬
816,售
817,唯
818,唱
819,唳
820,唷
821,唼
